epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2245,0.73472,2.0153,1.02298,1,0.92974,0.99456,0.86602,0.5764,1.99624,0.85389,0.000649123,0.000649123,0.000649123
2,20.4682,0.72371,1.03844,0.99953,0.95657,0.96187,0.9809,0.82865,0.68832,1.38827,0.89464,0.00127237,0.00127237,0.00127237
3,29.0143,0.74342,0.94448,0.99193,0.94537,0.99127,0.99275,0.83418,0.66324,1.35089,0.89209,0.00185161,0.00185161,0.00185161
4,37.6322,0.77038,0.92593,1.01102,0.96375,0.9345,0.98353,0.8198,0.70046,1.30314,0.87832,0.001802,0.001802,0.001802
5,45.9471,0.74511,0.88066,1.00549,0.99563,0.99523,0.99421,0.86418,0.59578,0.95374,0.83911,0.001736,0.001736,0.001736
6,54.4624,0.72269,0.84728,1.00591,0.98219,0.99563,0.987,0.86158,0.56003,0.92277,0.84754,0.00167,0.00167,0.00167
7,63.277,0.71682,0.78197,0.98496,0.98207,0.99563,0.99393,0.86257,0.56271,0.84131,0.84732,0.001604,0.001604,0.001604
8,72.2278,0.70061,0.73258,0.97831,0.99155,0.99563,0.99474,0.86389,0.57909,0.78271,0.85214,0.001538,0.001538,0.001538
9,81.1956,0.64988,0.73484,0.96403,0.99101,1,0.99496,0.87358,0.54971,0.77172,0.84072,0.001472,0.001472,0.001472
10,90.0539,0.68517,0.70302,0.97121,0.99753,0.99563,0.995,0.87842,0.5043,0.62544,0.82332,0.001406,0.001406,0.001406
11,98.9911,0.60432,0.63631,0.95487,0.99937,0.99563,0.995,0.88794,0.49459,0.62042,0.81937,0.00134,0.00134,0.00134
12,108.009,0.62263,0.61455,0.95117,0.99445,0.99563,0.995,0.88361,0.52386,0.65705,0.83011,0.001274,0.001274,0.001274
13,117.492,0.6187,0.59959,0.95664,0.99332,0.99563,0.99496,0.89359,0.47941,0.57696,0.81531,0.001208,0.001208,0.001208
14,126.368,0.59065,0.57528,0.93638,0.99911,0.99563,0.995,0.89518,0.49456,0.56666,0.81627,0.001142,0.001142,0.001142
15,134.656,0.60158,0.57231,0.96177,0.99891,0.99563,0.995,0.8902,0.47056,0.54366,0.81083,0.001076,0.001076,0.001076
16,142.863,0.59877,0.55362,0.9482,0.99927,0.99563,0.995,0.88929,0.50748,0.56557,0.81646,0.00101,0.00101,0.00101
17,151.033,0.58778,0.53618,0.94105,0.99869,0.99563,0.995,0.89048,0.46936,0.53001,0.81302,0.000944,0.000944,0.000944
18,159.162,0.59514,0.51947,0.96525,0.99905,0.99563,0.995,0.90496,0.44849,0.49332,0.80737,0.000878,0.000878,0.000878
19,167.119,0.60035,0.52314,0.95457,1,0.9956,0.995,0.89705,0.4522,0.50086,0.81051,0.000812,0.000812,0.000812
20,175.1,0.60024,0.51186,0.9497,0.99895,0.99563,0.995,0.8948,0.46094,0.46967,0.81323,0.000746,0.000746,0.000746
21,183.476,0.45718,0.46856,0.83636,0.99843,0.99563,0.995,0.90121,0.44043,0.48153,0.80299,0.00068,0.00068,0.00068
22,191.574,0.4601,0.46133,0.83078,0.99829,0.99563,0.995,0.9014,0.44065,0.4543,0.80427,0.000614,0.000614,0.000614
23,199.315,0.46763,0.44436,0.83436,0.99846,0.99563,0.995,0.8949,0.45639,0.47164,0.8096,0.000548,0.000548,0.000548
24,207.357,0.4538,0.44646,0.82491,0.99903,0.99563,0.995,0.90241,0.4372,0.44383,0.80483,0.000482,0.000482,0.000482
25,215.921,0.44974,0.43582,0.82926,0.99892,0.99563,0.995,0.89457,0.44988,0.44103,0.80628,0.000416,0.000416,0.000416
26,223.623,0.45768,0.42529,0.84576,0.99928,0.99563,0.995,0.90718,0.42625,0.42764,0.80459,0.00035,0.00035,0.00035
27,231.813,0.43878,0.41436,0.83124,0.99928,0.99563,0.995,0.90978,0.40822,0.41035,0.80222,0.000284,0.000284,0.000284
28,239.915,0.42064,0.39264,0.81785,0.99913,0.99563,0.995,0.91568,0.40493,0.39244,0.79871,0.000218,0.000218,0.000218
29,247.902,0.4127,0.3831,0.82285,0.9989,0.99563,0.995,0.91713,0.40729,0.38706,0.79752,0.000152,0.000152,0.000152
30,255.679,0.42728,0.38966,0.83784,0.9988,0.99563,0.995,0.91492,0.40031,0.38127,0.79536,8.6e-05,8.6e-05,8.6e-05
