epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9753,0.85719,2.1344,1.10743,0.94998,0.92269,0.96248,0.7823,0.67096,1.92507,0.8659,0.000649573,0.000649573,0.000649573
2,24.8344,0.84504,1.13062,1.0998,0.89017,0.95164,0.96736,0.77472,0.79129,1.22769,1.00081,0.0012728,0.0012728,0.0012728
3,36.9333,0.86428,1.04589,1.06676,0.95983,0.96726,0.97299,0.78571,0.74947,1.06989,0.94388,0.00185203,0.00185203,0.00185203
4,48.5447,0.93134,1.00616,1.0669,0.89672,0.96356,0.95278,0.78733,0.69542,1.15547,0.90862,0.001802,0.001802,0.001802
5,60.0274,0.80687,0.92042,1.02886,0.87457,0.95547,0.93577,0.61985,1.05145,1.31871,1.06404,0.001736,0.001736,0.001736
6,71.3967,0.81817,0.86574,1.05857,0.90261,0.97571,0.96617,0.79374,0.67591,1.0105,0.89078,0.00167,0.00167,0.00167
7,82.7625,0.80376,0.81522,1.03602,0.93267,0.95332,0.95632,0.80102,0.66518,0.84908,0.85492,0.001604,0.001604,0.001604
8,94.4876,0.75744,0.80687,0.99841,0.94582,0.97976,0.97746,0.81764,0.62505,0.74443,0.85928,0.001538,0.001538,0.001538
9,106.023,0.8304,0.77226,1.06405,0.94184,0.98337,0.97588,0.82646,0.67912,0.7747,0.87884,0.001472,0.001472,0.001472
10,117.629,0.75242,0.75064,1.01004,0.94777,0.98785,0.98489,0.84054,0.67909,0.75075,0.86479,0.001406,0.001406,0.001406
11,129.128,0.78238,0.71196,1.03513,0.97044,0.93037,0.97837,0.8113,0.68053,0.74353,0.88303,0.00134,0.00134,0.00134
12,140.593,0.7902,0.71064,1.03441,0.95234,0.97084,0.98945,0.8287,0.65265,0.64916,0.8602,0.001274,0.001274,0.001274
13,152.03,0.75098,0.69287,1.01964,0.95293,0.98357,0.98258,0.83312,0.65089,0.64342,0.86453,0.001208,0.001208,0.001208
14,166.244,0.7713,0.65952,1.01704,0.94516,0.99595,0.98557,0.84123,0.62601,0.58722,0.85589,0.001142,0.001142,0.001142
15,181.761,0.7186,0.66351,0.98431,0.94974,0.9945,0.98798,0.84655,0.62166,0.56301,0.84978,0.001076,0.001076,0.001076
16,196.952,0.72839,0.64304,1.01139,0.96452,0.99052,0.98932,0.8374,0.63001,0.58314,0.8529,0.00101,0.00101,0.00101
17,210.987,0.69302,0.61281,0.99484,0.97318,0.98785,0.98688,0.84527,0.60537,0.54365,0.84782,0.000944,0.000944,0.000944
18,225.097,0.72734,0.61913,0.99737,0.95774,0.98785,0.98944,0.85134,0.59063,0.52962,0.83331,0.000878,0.000878,0.000878
19,239.163,0.71022,0.61537,1.02096,0.94565,0.98612,0.98762,0.8524,0.58372,0.54101,0.82847,0.000812,0.000812,0.000812
20,253.79,0.73383,0.61534,1.01332,0.96468,0.99522,0.98966,0.85119,0.60937,0.53198,0.83884,0.000746,0.000746,0.000746
21,269.606,0.60869,0.56762,0.93092,0.95343,0.99471,0.98969,0.85062,0.59688,0.52849,0.8338,0.00068,0.00068,0.00068
22,284.706,0.59276,0.53038,0.90991,0.9626,0.9919,0.98888,0.84809,0.57764,0.53283,0.83482,0.000614,0.000614,0.000614
23,300.235,0.57493,0.49853,0.90479,0.96832,0.98999,0.99046,0.85525,0.57453,0.49116,0.82265,0.000548,0.000548,0.000548
24,312.825,0.57107,0.49417,0.88839,0.96715,0.9919,0.98822,0.85588,0.57638,0.48113,0.82997,0.000482,0.000482,0.000482
25,324.384,0.56155,0.48342,0.88726,0.96764,0.9919,0.98756,0.8587,0.55815,0.47221,0.81945,0.000416,0.000416,0.000416
26,336.555,0.58496,0.47921,0.91323,0.96351,0.9919,0.98808,0.86146,0.54132,0.46189,0.81742,0.00035,0.00035,0.00035
27,349.723,0.55903,0.45724,0.89986,0.97131,0.98785,0.98955,0.86239,0.54598,0.46461,0.81707,0.000284,0.000284,0.000284
28,363.386,0.56212,0.44923,0.89271,0.97718,0.98785,0.99062,0.85836,0.57224,0.45945,0.82142,0.000218,0.000218,0.000218
29,376.734,0.57418,0.47055,0.89486,0.97924,0.98785,0.99139,0.86722,0.54195,0.43193,0.81156,0.000152,0.000152,0.000152
30,388.173,0.54454,0.42518,0.89883,0.97888,0.98785,0.99121,0.87199,0.53364,0.42842,0.80874,8.6e-05,8.6e-05,8.6e-05
