epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8809,0.88197,2.30294,1.05381,0.96505,0.58258,0.91781,0.69195,0.8087,2.30048,0.95534,0.000648649,0.000648649,0.000648649
2,27.1056,0.96412,1.35443,1.08468,0.8917,0.83381,0.94196,0.71407,0.84946,1.74618,0.97794,0.00127191,0.00127191,0.00127191
3,38.5527,0.99575,1.20931,1.07472,0.96667,0.88186,0.9648,0.74654,0.81861,1.72355,0.97342,0.00185117,0.00185117,0.00185117
4,49.4397,0.95741,1.1693,1.08111,0.93642,0.97046,0.98087,0.75191,0.80331,1.46906,0.99533,0.001802,0.001802,0.001802
5,60.1736,0.91711,1.0981,1.03819,0.93994,0.99156,0.98142,0.7402,0.8693,1.23228,1.02637,0.001736,0.001736,0.001736
6,70.8891,0.84582,0.97324,1.01252,0.97446,0.98734,0.9865,0.78438,0.74745,1.45918,0.98904,0.00167,0.00167,0.00167
7,81.9096,0.82946,0.90029,1.02251,0.97794,0.99578,0.99199,0.8256,0.69857,0.94938,0.95725,0.001604,0.001604,0.001604
8,92.9938,0.80343,0.88622,1.02198,0.98751,0.98734,0.99422,0.85132,0.66124,0.92732,0.96952,0.001538,0.001538,0.001538
9,103.78,0.81536,0.82552,1.02133,0.9632,0.99383,0.98957,0.82992,0.6583,0.88246,0.94669,0.001472,0.001472,0.001472
10,116.668,0.81502,0.79551,1.04482,0.981,0.98312,0.99283,0.83382,0.64869,0.82526,0.95367,0.001406,0.001406,0.001406
11,129.14,0.7734,0.79618,1.02039,0.98735,0.98809,0.99457,0.83788,0.64875,0.84043,0.95563,0.00134,0.00134,0.00134
12,142.062,0.77374,0.7113,1.00334,0.99418,0.98734,0.99394,0.84054,0.65211,0.72769,0.97674,0.001274,0.001274,0.001274
13,155.782,0.73357,0.72548,0.98899,0.99158,0.99424,0.9947,0.83534,0.65384,0.71816,0.93435,0.001208,0.001208,0.001208
14,167.659,0.74378,0.70513,1.0051,0.98112,0.98734,0.99405,0.86687,0.59895,0.68162,0.93656,0.001142,0.001142,0.001142
15,179.038,0.71093,0.6545,0.97505,0.98952,0.99156,0.99378,0.85023,0.61163,0.70482,0.94933,0.001076,0.001076,0.001076
16,189.656,0.77426,0.70865,1.03682,0.99149,0.98734,0.99436,0.85261,0.62518,0.68006,0.95243,0.00101,0.00101,0.00101
17,200.561,0.73563,0.6369,1.00464,0.98744,0.99537,0.99445,0.85199,0.59604,0.63289,0.94853,0.000944,0.000944,0.000944
18,211.772,0.74115,0.63363,0.9942,0.97913,1,0.99453,0.86148,0.58042,0.60244,0.94357,0.000878,0.000878,0.000878
19,222.892,0.69749,0.57507,0.98115,0.98229,1,0.9947,0.8679,0.56752,0.56743,0.93768,0.000812,0.000812,0.000812
20,234.326,0.66875,0.58546,0.98471,0.97806,1,0.99483,0.8643,0.55158,0.56512,0.93072,0.000746,0.000746,0.000746
21,245.116,0.60331,0.59155,0.92329,0.97921,0.99386,0.99168,0.85459,0.57444,0.58932,0.94133,0.00068,0.00068,0.00068
22,256.411,0.57936,0.56299,0.88867,0.97516,0.99386,0.99093,0.87191,0.5522,0.56835,0.93293,0.000614,0.000614,0.000614
23,267.265,0.57062,0.52551,0.89622,0.98714,0.99578,0.99453,0.87424,0.554,0.52983,0.93099,0.000548,0.000548,0.000548
24,279.089,0.59105,0.50888,0.90691,0.98737,1,0.99479,0.86217,0.58236,0.52012,0.93417,0.000482,0.000482,0.000482
25,289.622,0.56501,0.51403,0.88346,0.98749,0.99881,0.99483,0.87696,0.54211,0.50465,0.92283,0.000416,0.000416,0.000416
26,300.233,0.56672,0.49633,0.89795,0.98747,0.99794,0.99453,0.88653,0.52709,0.50218,0.91762,0.00035,0.00035,0.00035
27,310.664,0.53433,0.48227,0.88286,0.99126,0.99156,0.9941,0.8777,0.50462,0.48444,0.912,0.000284,0.000284,0.000284
28,321.445,0.56458,0.48417,0.87802,0.98749,0.99951,0.99372,0.88159,0.50515,0.47461,0.91193,0.000218,0.000218,0.000218
29,332.068,0.54717,0.47023,0.87987,0.9875,0.99993,0.99428,0.87889,0.52443,0.46573,0.91692,0.000152,0.000152,0.000152
30,342.996,0.53595,0.45907,0.87673,0.9875,0.99967,0.9944,0.88327,0.51769,0.46143,0.91492,8.6e-05,8.6e-05,8.6e-05
