epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0325,0.78574,3.05128,1.08289,0.00529,1,0.27489,0.22444,0.64659,3.15443,0.87647,0.00040625,0.00040625,0.00040625
2,27.9462,0.85765,2.45908,1.08963,0.53643,0.4554,0.44612,0.35771,0.76261,2.58082,0.92255,0.00079576,0.00079576,0.00079576
3,39.6458,0.87033,2.17585,1.0821,0.41839,0.72963,0.4677,0.37694,0.72951,2.26222,0.89643,0.00115777,0.00115777,0.00115777
4,52.0709,0.84433,1.96488,1.04011,0.53899,0.72079,0.55761,0.4638,0.67087,1.90825,0.88794,0.00112625,0.00112625,0.00112625
5,64.2461,0.81707,1.78996,1.01733,0.44755,0.86606,0.5797,0.48437,0.65345,2.01347,0.86567,0.001085,0.001085,0.001085
6,76.585,0.78785,1.66585,1.02412,0.5553,0.83417,0.61257,0.52576,0.58703,1.7338,0.83694,0.00104375,0.00104375,0.00104375
7,88.7185,0.74469,1.6239,0.99037,0.40216,0.84376,0.70036,0.58453,0.60697,2.37183,0.84464,0.0010025,0.0010025,0.0010025
8,101.59,0.71305,1.5416,0.98268,0.47221,0.88043,0.67865,0.56667,0.66161,1.89076,0.86188,0.00096125,0.00096125,0.00096125
9,114.021,0.71616,1.48085,0.9613,0.67046,0.64848,0.64453,0.52999,0.65602,1.72388,0.85585,0.00092,0.00092,0.00092
10,125.933,0.75717,1.4911,1.00141,0.58326,0.92073,0.71504,0.60269,0.66075,1.53604,0.87758,0.00087875,0.00087875,0.00087875
11,138.134,0.74309,1.46376,0.99961,0.67365,0.85609,0.74795,0.64622,0.57919,1.44142,0.83293,0.0008375,0.0008375,0.0008375
12,151.769,0.72645,1.45092,0.99056,0.61003,0.94506,0.75093,0.64178,0.60679,1.41079,0.84647,0.00079625,0.00079625,0.00079625
13,165.079,0.75229,1.36005,1.00297,0.6233,0.9015,0.73519,0.6183,0.62346,1.33392,0.85765,0.000755,0.000755,0.000755
14,178.177,0.70035,1.34527,0.96435,0.58311,0.89917,0.7316,0.62856,0.56965,1.38939,0.8367,0.00071375,0.00071375,0.00071375
15,192.163,0.72306,1.33282,0.97454,0.64732,0.86971,0.73769,0.63728,0.59143,1.29855,0.83501,0.0006725,0.0006725,0.0006725
16,204.77,0.68263,1.24958,0.97521,0.69621,0.87572,0.75227,0.65356,0.54598,1.25287,0.81929,0.00063125,0.00063125,0.00063125
17,217.862,0.67073,1.26459,0.94689,0.67476,0.92932,0.75458,0.6445,0.58185,1.34019,0.82752,0.00059,0.00059,0.00059
18,231.043,0.69979,1.23278,0.97452,0.63706,0.93307,0.77424,0.6767,0.54117,1.22122,0.81663,0.00054875,0.00054875,0.00054875
19,244.074,0.70432,1.22492,0.97117,0.66341,0.90712,0.74907,0.64681,0.56392,1.23691,0.82369,0.0005075,0.0005075,0.0005075
20,257.714,0.65813,1.19398,0.95447,0.67378,0.89803,0.78374,0.6837,0.55012,1.16036,0.81668,0.00046625,0.00046625,0.00046625
21,271.296,0.55016,1.24845,0.86941,0.74182,0.85585,0.80251,0.69926,0.5469,1.20288,0.8149,0.000425,0.000425,0.000425
22,284.313,0.55481,1.21923,0.85917,0.69696,0.86463,0.80619,0.70622,0.5285,1.17813,0.81045,0.00038375,0.00038375,0.00038375
23,297.082,0.56386,1.18982,0.86415,0.74452,0.88294,0.85124,0.73622,0.58525,1.1307,0.82651,0.0003425,0.0003425,0.0003425
24,308.641,0.55235,1.14666,0.87047,0.7489,0.8795,0.85183,0.74279,0.54211,1.06499,0.81098,0.00030125,0.00030125,0.00030125
25,320.437,0.55429,1.09721,0.88502,0.78915,0.86339,0.8671,0.75744,0.54183,1.05481,0.81169,0.00026,0.00026,0.00026
26,333.672,0.5515,1.09879,0.87801,0.78319,0.81574,0.85803,0.75497,0.53231,1.0405,0.81207,0.00021875,0.00021875,0.00021875
27,346.159,0.5395,1.06779,0.86394,0.79435,0.86322,0.88605,0.78384,0.51406,0.98231,0.80867,0.0001775,0.0001775,0.0001775
28,354.609,0.5396,1.03899,0.8399,0.85419,0.87659,0.90467,0.80326,0.50599,0.95233,0.80454,0.00013625,0.00013625,0.00013625
29,363.172,0.54481,1.05621,0.89112,0.82755,0.8971,0.91227,0.80599,0.50284,0.93294,0.80354,9.5e-05,9.5e-05,9.5e-05
30,371.369,0.53245,1.04463,0.86601,0.80138,0.89144,0.90254,0.79751,0.50656,0.95005,0.8046,5.375e-05,5.375e-05,5.375e-05
