epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.28723,0.9669,2.71982,1.07159,0.00337,1,0.93358,0.65628,0.92593,2.75537,1.00986,0.0003,0.0003,0.0003
2,8.21023,0.90786,1.7906,0.99402,0.00333,1,0.97116,0.59423,1.10506,2.57941,1.08406,0.00059954,0.00059954,0.00059954
3,12.1903,1.01224,1.26126,1.05026,0.98851,0.89631,0.98478,0.6355,1.00188,2.08079,1.05438,0.00087796,0.00087796,0.00087796
4,16.2283,1.05335,1.18104,1.13154,0.96593,0.88601,0.98254,0.73321,0.86207,1.99844,0.98885,0.00113526,0.00113526,0.00113526
5,20.6925,0.94983,1.09428,1.05357,0.96844,0.95898,0.99207,0.61608,1.09904,1.93335,1.17194,0.00137144,0.00137144,0.00137144
6,26.1742,0.99798,1.20193,1.10338,0.22161,0.54167,0.25443,0.19472,0.87267,2.35505,1.08455,0.0015865,0.0015865,0.0015865
7,31.7691,1.02806,1.18496,1.12093,0.62553,0.5625,0.65434,0.50331,0.85747,2.05719,1.11341,0.001604,0.001604,0.001604
8,37.0165,1.05546,1.16596,1.1409,0.92365,0.89583,0.96698,0.6988,0.98291,1.71745,1.19985,0.001538,0.001538,0.001538
9,42.9317,0.97613,1.07597,1.12464,0.97781,0.97917,0.98627,0.76004,0.87663,1.47335,1.14683,0.001472,0.001472,0.001472
10,50.298,0.9785,1.02985,1.07275,0.98309,0.97917,0.994,0.77584,0.84079,1.2164,1.08692,0.001406,0.001406,0.001406
11,55.112,0.90431,0.94379,1.05374,0.98775,1,0.99479,0.77098,0.82227,1.15517,1.08079,0.00134,0.00134,0.00134
12,61.2735,0.92638,0.90409,1.07047,0.9872,1,0.99479,0.73873,0.83552,1.26908,1.0826,0.001274,0.001274,0.001274
13,66.5814,0.90799,0.91802,1.06273,0.97724,1,0.99459,0.78886,0.78787,1.15138,1.04953,0.001208,0.001208,0.001208
14,71.4373,0.90622,0.92827,1.07742,0.98962,0.99319,0.99459,0.77786,0.78834,1.1055,1.05204,0.001142,0.001142,0.001142
15,76.7518,0.96753,0.85473,1.09678,0.97838,1,0.99469,0.79337,0.77171,1.06067,1.03161,0.001076,0.001076,0.001076
16,81.904,0.85041,0.81812,1.02897,0.99876,0.98958,0.9948,0.79987,0.73987,1.01329,1.01878,0.00101,0.00101,0.00101
17,87.2738,0.93185,0.94851,1.12107,0.98957,1,0.99459,0.79854,0.75394,0.95017,1.04252,0.000944,0.000944,0.000944
18,92.8039,0.88175,0.82699,1.05944,0.98963,1,0.99479,0.80083,0.75868,0.9312,1.04053,0.000878,0.000878,0.000878
19,98.2337,0.91038,0.83134,1.06312,0.99995,1,0.995,0.79668,0.75251,0.89834,1.04544,0.000812,0.000812,0.000812
20,103.314,0.89589,0.7732,1.04661,1,0.9988,0.995,0.79659,0.75689,0.89442,1.04979,0.000746,0.000746,0.000746
21,108.329,0.78856,0.86786,1.00518,1,0.99987,0.995,0.80061,0.73525,0.89228,1.04029,0.00068,0.00068,0.00068
22,113.059,0.78023,0.83741,1.03907,0.99655,1,0.995,0.80175,0.73542,0.8733,1.04223,0.000614,0.000614,0.000614
23,117.624,0.7727,0.8723,1.00929,0.9974,1,0.995,0.79525,0.75181,0.86713,1.05241,0.000548,0.000548,0.000548
24,122.422,0.74649,0.81907,1.00353,1,0.99761,0.995,0.81018,0.72274,0.86574,1.03019,0.000482,0.000482,0.000482
25,127.145,0.76172,0.81206,1.01025,0.99488,1,0.995,0.81007,0.71858,0.84563,1.02781,0.000416,0.000416,0.000416
26,132.142,0.73394,0.77856,0.97638,0.9976,0.98958,0.9949,0.81338,0.71087,0.81093,1.02384,0.00035,0.00035,0.00035
27,137.039,0.69613,0.77316,0.9706,0.9874,1,0.9949,0.81503,0.69905,0.79828,1.01387,0.000284,0.000284,0.000284
28,141.929,0.71848,0.7532,0.95964,1,0.99679,0.995,0.81334,0.69959,0.7791,1.00783,0.000218,0.000218,0.000218
29,146.558,0.71914,0.73713,0.95207,1,0.99677,0.995,0.81346,0.70419,0.76978,1.0093,0.000152,0.000152,0.000152
30,151.264,0.71865,0.71849,0.96591,1,0.99817,0.995,0.82584,0.69733,0.75714,1.00334,8.6e-05,8.6e-05,8.6e-05
