epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7774,1.02534,2.14377,1.19203,0.96174,0.97992,0.99092,0.71022,0.90307,2.18419,1.07656,0.000650407,0.000650407,0.000650407
2,24.4559,1.03882,1.18031,1.20856,0.98743,0.98394,0.98909,0.70546,0.99267,1.27449,1.14761,0.00127361,0.00127361,0.00127361
3,35.7468,1.14352,1.05085,1.18465,0.95082,0.9759,0.98601,0.74393,0.93817,1.39801,1.14093,0.00185281,0.00185281,0.00185281
4,47.0891,1.08831,1.02325,1.18767,0.97311,0.97992,0.98948,0.71139,1.00078,1.10021,1.11795,0.001802,0.001802,0.001802
5,58.8687,1.11828,0.98492,1.18123,0.9724,0.99063,0.99294,0.70388,0.91313,1.10721,1.07134,0.001736,0.001736,0.001736
6,70.3046,1.09471,0.90949,1.1825,0.97602,0.98084,0.99067,0.71475,0.97814,1.11245,1.10987,0.00167,0.00167,0.00167
7,81.897,1.05505,0.87038,1.14414,0.97884,1,0.9935,0.73101,0.90861,0.97795,1.0761,0.001604,0.001604,0.001604
8,94.0454,1.04709,0.8636,1.15806,0.96112,0.99286,0.98885,0.73871,0.93461,1.01838,1.05242,0.001538,0.001538,0.001538
9,105.468,1.08659,0.8655,1.15692,0.98802,0.99371,0.994,0.75306,0.86585,0.79829,1.02727,0.001472,0.001472,0.001472
10,117.134,1.0661,0.8296,1.15242,0.98406,0.99185,0.99324,0.7465,0.94796,0.78897,1.07543,0.001406,0.001406,0.001406
11,130.521,1.07543,0.80664,1.17396,0.99886,0.99197,0.995,0.74422,0.88178,0.67394,1.03958,0.00134,0.00134,0.00134
12,145.508,1.0036,0.73251,1.13267,0.9803,0.99942,0.99328,0.761,0.86112,0.6897,1.0225,0.001274,0.001274,0.001274
13,158.184,1.02671,0.72497,1.14882,0.98218,0.98795,0.99338,0.76345,0.84646,0.6825,1.01213,0.001208,0.001208,0.001208
14,169.745,0.9848,0.70921,1.12239,0.98806,0.99669,0.995,0.74914,0.92939,0.67361,1.06186,0.001142,0.001142,0.001142
15,181.61,1.00603,0.71772,1.13062,0.99195,0.99023,0.99492,0.77852,0.82817,0.62809,1.00557,0.001076,0.001076,0.001076
16,193.767,0.92828,0.67614,1.09244,0.98774,1,0.99353,0.75966,0.8516,0.59441,1.01397,0.00101,0.00101,0.00101
17,205.715,1.016,0.67363,1.12381,0.99072,1,0.995,0.77511,0.82555,0.58902,0.99896,0.000944,0.000944,0.000944
18,219.26,0.94284,0.64187,1.09207,0.98965,1,0.99476,0.78296,0.80425,0.55908,0.99087,0.000878,0.000878,0.000878
19,233.502,0.98341,0.6347,1.12262,0.99482,1,0.995,0.77197,0.85153,0.59642,1.02503,0.000812,0.000812,0.000812
20,245.561,0.93369,0.61627,1.10893,0.99803,0.99598,0.995,0.77735,0.83539,0.54242,1.009,0.000746,0.000746,0.000746
21,257.262,0.80286,0.57889,1.00758,0.99202,0.99885,0.99496,0.76945,0.83599,0.5564,1.00522,0.00068,0.00068,0.00068
22,268.487,0.84564,0.55193,1.03122,0.98837,0.99598,0.99492,0.799,0.7814,0.52033,0.97666,0.000614,0.000614,0.000614
23,281.102,0.81828,0.52305,1.01316,0.99598,0.99487,0.99436,0.7845,0.78409,0.53551,0.97525,0.000548,0.000548,0.000548
24,293.028,0.80778,0.50822,1.02206,0.99447,0.99598,0.995,0.79956,0.77564,0.50561,0.97183,0.000482,0.000482,0.000482
25,304.472,0.80419,0.49733,1.00023,0.99536,1,0.99496,0.79908,0.75553,0.49279,0.9657,0.000416,0.000416,0.000416
26,316.704,0.79072,0.48613,1.0032,0.99445,0.99197,0.99492,0.788,0.7835,0.51701,0.97865,0.00035,0.00035,0.00035
27,329.63,0.80814,0.49153,1.01694,0.99522,0.99197,0.995,0.79884,0.75237,0.47884,0.96873,0.000284,0.000284,0.000284
28,342.116,0.79332,0.4653,1.00103,0.99312,1,0.99496,0.79987,0.7503,0.46792,0.96451,0.000218,0.000218,0.000218
29,354.829,0.78097,0.45302,1.0017,0.99563,1,0.99496,0.80425,0.73779,0.45987,0.96143,0.000152,0.000152,0.000152
30,371.748,0.76266,0.44768,0.98064,0.99488,1,0.995,0.8052,0.73556,0.45388,0.96036,8.6e-05,8.6e-05,8.6e-05
