epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.84046,0.87522,3.12413,1.16034,0.00371,1,0.40928,0.35057,0.53761,3.15463,0.82777,0.00027151,0.00027151,0.00027151
2,13.3552,0.81101,2.59954,1.0872,0.00366,1,0.42933,0.27644,0.80823,3.13065,0.98177,0.000538919,0.000538919,0.000538919
3,19.7071,0.88655,2.06492,1.10552,0.79511,0.21158,0.59108,0.44265,0.72752,2.6988,1.0511,0.000787465,0.000787465,0.000787465
4,26.1425,0.83614,1.85928,1.09224,0.66021,0.81308,0.67863,0.48444,0.81422,2.31102,1.142,0.00101715,0.00101715,0.00101715
5,32.1933,0.89731,1.73748,1.11752,0.65972,0.96541,0.71747,0.59672,0.66704,1.95563,0.98912,0.00122797,0.00122797,0.00122797
6,38.3757,0.8609,1.68518,1.09452,0.63221,0.98412,0.702,0.5809,0.67165,1.87685,0.96356,0.00119322,0.00119322,0.00119322
7,44.1389,0.86338,1.61226,1.07641,0.48396,0.84932,0.69201,0.54034,0.73926,1.78215,1.07542,0.00114606,0.00114606,0.00114606
8,50.2873,0.83495,1.46271,1.06333,0.61305,0.96909,0.80445,0.65197,0.71096,1.80487,0.98628,0.0010989,0.0010989,0.0010989
9,56.0497,0.78744,1.45158,1.02457,0.5964,0.94,0.81866,0.67538,0.68816,1.95576,0.95698,0.00105174,0.00105174,0.00105174
10,61.9362,0.80328,1.40244,1.02752,0.66135,0.92008,0.87043,0.64951,0.78842,1.87309,0.96798,0.00100459,0.00100459,0.00100459
11,67.7853,0.77115,1.38196,1.00937,0.81831,0.89906,0.90986,0.77323,0.60715,1.35516,0.84672,0.00095743,0.00095743,0.00095743
12,74.0937,0.72985,1.24898,0.98844,0.77321,0.91358,0.90607,0.76192,0.62385,1.52806,0.85129,0.000910273,0.000910273,0.000910273
13,81.8141,0.67972,1.17691,0.97525,0.78002,0.91698,0.91514,0.75578,0.67853,1.47943,0.86124,0.000863116,0.000863116,0.000863116
14,89.3209,0.76997,1.24397,1.02684,0.83469,0.91358,0.93874,0.79884,0.60114,1.2007,0.83482,0.000815959,0.000815959,0.000815959
15,95.9098,0.74123,1.13963,0.99576,0.9014,0.87009,0.93682,0.80554,0.57561,1.13319,0.82654,0.000768802,0.000768802,0.000768802
16,102.363,0.63241,1.16612,0.95498,0.8053,0.92018,0.92136,0.80203,0.54449,1.25668,0.82045,0.000721645,0.000721645,0.000721645
17,108.738,0.6508,1.14785,0.95504,0.82168,0.95178,0.92123,0.80184,0.56007,1.18259,0.82706,0.000674488,0.000674488,0.000674488
18,116.207,0.66098,1.02396,0.96029,0.81901,0.93743,0.92487,0.80745,0.55631,1.14054,0.82494,0.000627331,0.000627331,0.000627331
19,124.512,0.63655,1.06376,0.95149,0.81196,0.93462,0.92327,0.80522,0.56126,1.14377,0.82161,0.000580174,0.000580174,0.000580174
20,130.668,0.65935,1.05742,0.97224,0.83686,0.9119,0.92812,0.81125,0.56271,1.11988,0.82204,0.000533017,0.000533017,0.000533017
21,135.753,0.5527,1.20315,0.89657,0.90829,0.89282,0.94897,0.82912,0.54843,1.02926,0.82129,0.00048586,0.00048586,0.00048586
22,140.428,0.54167,1.13693,0.85664,0.91611,0.92508,0.96195,0.8401,0.52365,1.03392,0.81217,0.000438703,0.000438703,0.000438703
23,145.316,0.55137,1.13406,0.87882,0.96302,0.91743,0.97471,0.85485,0.52766,0.97358,0.8118,0.000391546,0.000391546,0.000391546
24,150.074,0.55634,1.07689,0.86896,0.91091,0.95631,0.97846,0.85042,0.52381,0.9767,0.81346,0.000344389,0.000344389,0.000344389
25,154.738,0.54733,1.14627,0.87022,0.87896,0.96239,0.98199,0.85836,0.53458,0.99491,0.81852,0.000297232,0.000297232,0.000297232
26,159.737,0.54693,1.04548,0.87115,0.81875,0.96698,0.9861,0.8667,0.52281,1.02346,0.81511,0.000250075,0.000250075,0.000250075
27,164.426,0.52737,0.96226,0.86187,0.80403,0.98485,0.9871,0.87715,0.49984,1.03193,0.80477,0.000202918,0.000202918,0.000202918
28,169.055,0.49741,1.02495,0.865,0.8353,0.98485,0.98953,0.88199,0.48363,1.0039,0.79799,0.000155761,0.000155761,0.000155761
29,173.583,0.50054,1.03707,0.84962,0.91428,0.98485,0.9905,0.88432,0.47753,0.91633,0.79428,0.000108604,0.000108604,0.000108604
30,178.309,0.51309,0.89272,0.84846,0.95748,0.97979,0.99131,0.8887,0.47393,0.86935,0.79338,6.1447e-05,6.1447e-05,6.1447e-05
