epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5081,1.3476,2.47832,1.20936,0.76502,0.06475,0.64566,0.35628,1.19676,2.92062,1.13944,0.000651852,0.000651852,0.000651852
2,20.1362,1.32806,1.4177,1.22504,0.98942,0.67284,0.95343,0.57112,1.31141,2.49232,1.21897,0.00127501,0.00127501,0.00127501
3,31.7016,1.38987,1.34693,1.25408,0.95002,0.95727,0.9713,0.4972,1.46856,1.43596,1.37778,0.00185416,0.00185416,0.00185416
4,43.5328,1.34881,1.24092,1.2306,0.90111,0.94964,0.95466,0.59025,1.25347,1.37936,1.16339,0.001802,0.001802,0.001802
5,54.44,1.25801,1.12711,1.19441,0.77262,0.76619,0.7999,0.38584,1.69776,2.27091,1.44024,0.001736,0.001736,0.001736
6,65.4281,1.36246,1.16217,1.24007,0.9606,0.96763,0.98778,0.63703,1.2157,1.21721,1.17214,0.00167,0.00167,0.00167
7,76.2068,1.2841,1.02914,1.20913,0.96756,0.96572,0.98744,0.61182,1.25307,1.3154,1.15997,0.001604,0.001604,0.001604
8,85.8531,1.26487,1.0225,1.18957,0.94238,0.96403,0.98161,0.64098,1.16812,1.06807,1.12641,0.001538,0.001538,0.001538
9,95.4949,1.25272,0.98546,1.19634,0.98516,0.95683,0.98526,0.65135,1.18162,0.90382,1.11151,0.001472,0.001472,0.001472
10,105.505,1.18871,0.89133,1.16809,0.96911,0.95683,0.98746,0.65591,1.16355,0.93197,1.11249,0.001406,0.001406,0.001406
11,115.387,1.23582,0.88664,1.17425,0.98983,0.97482,0.9924,0.66178,1.16795,0.8324,1.10521,0.00134,0.00134,0.00134
12,125.809,1.19452,0.82001,1.13785,0.98177,0.96836,0.99039,0.66162,1.17242,0.80205,1.12504,0.001274,0.001274,0.001274
13,138.029,1.26324,0.84779,1.17443,0.99222,0.97842,0.99204,0.67619,1.13455,0.81861,1.10718,0.001208,0.001208,0.001208
14,152.474,1.23402,0.83306,1.18661,0.9774,0.97842,0.99206,0.64088,1.21677,0.84818,1.12765,0.001142,0.001142,0.001142
15,166.349,1.22261,0.79163,1.15929,0.97358,0.97122,0.99075,0.66515,1.15077,0.73739,1.11903,0.001076,0.001076,0.001076
16,178.298,1.20874,0.76211,1.17526,0.98754,0.96763,0.99288,0.65719,1.18887,0.71119,1.1194,0.00101,0.00101,0.00101
17,188.581,1.19317,0.77418,1.1683,0.97377,0.98201,0.9916,0.6739,1.1418,0.67789,1.09716,0.000944,0.000944,0.000944
18,197.839,1.1598,0.71136,1.13987,0.9786,0.98718,0.99307,0.69368,1.09477,0.65939,1.07883,0.000878,0.000878,0.000878
19,207.773,1.16304,0.69934,1.13498,0.97398,0.98201,0.99339,0.669,1.12393,0.62157,1.08267,0.000812,0.000812,0.000812
20,217.68,1.15316,0.67984,1.14689,0.98635,0.98201,0.99411,0.68788,1.08403,0.61498,1.06919,0.000746,0.000746,0.000746
21,227.505,1.13943,0.67573,1.10993,0.99189,0.97842,0.99357,0.68607,1.08392,0.59906,1.05773,0.00068,0.00068,0.00068
22,237.464,1.12787,0.62159,1.11425,0.98185,0.9732,0.99348,0.69,1.05004,0.58355,1.04991,0.000614,0.000614,0.000614
23,247.642,1.11939,0.6106,1.13063,0.98908,0.97702,0.99376,0.69516,1.06328,0.58881,1.05965,0.000548,0.000548,0.000548
24,257.375,1.11594,0.60288,1.11685,0.98402,0.94245,0.99011,0.68018,1.09469,0.61062,1.07359,0.000482,0.000482,0.000482
25,267.303,1.12472,0.59781,1.12792,0.99257,0.96098,0.99382,0.67112,1.11528,0.6063,1.07762,0.000416,0.000416,0.000416
26,277.102,1.07888,0.57963,1.10013,0.99265,0.97178,0.99315,0.69083,1.06042,0.56635,1.04843,0.00035,0.00035,0.00035
27,286.788,1.08225,0.58625,1.07249,0.99368,0.97842,0.99413,0.69136,1.05528,0.5643,1.04805,0.000284,0.000284,0.000284
28,296.629,1.07774,0.57531,1.08455,0.99276,0.98201,0.99454,0.70344,1.02648,0.56106,1.0426,0.000218,0.000218,0.000218
29,307.321,1.06521,0.54399,1.08101,0.99272,0.98087,0.99424,0.70244,1.03152,0.55334,1.04188,0.000152,0.000152,0.000152
30,317.777,1.06218,0.54119,1.09554,0.98895,0.98201,0.99431,0.7049,1.02128,0.54275,1.03843,8.6e-05,8.6e-05,8.6e-05
